-0.05	8
-0.05	8.5
-0.05	9
-0.05	9.5
-0.05	10
-0.05	10.5
-0.05	11
-0.05	11.5
-0.05	12
-0.045	8
-0.045	8.5
-0.045	9
-0.045	9.5
-0.045	10
-0.045	10.5
-0.045	11
-0.045	11.5
-0.045	12
-0.04	8
-0.04	8.5
-0.04	9
-0.04	9.5
-0.04	10
-0.04	10.5
-0.04	11
-0.04	11.5
-0.04	12
-0.035	8
-0.035	8.5
-0.035	9
-0.035	9.5
-0.035	10
-0.035	10.5
-0.035	11
-0.035	11.5
-0.035	12
-0.03	8
-0.03	8.5
-0.03	9
-0.03	9.5
-0.03	10
-0.03	10.5
-0.03	11
-0.03	11.5
-0.03	12
-0.025	8
-0.025	8.5
-0.025	9
-0.025	9.5
-0.025	10
-0.025	10.5
-0.025	11
-0.025	11.5
-0.025	12
-0.02	8
-0.02	8.5
-0.02	9
-0.02	9.5
-0.02	10
-0.02	10.5
-0.02	11
-0.02	11.5
-0.02	12
-0.015	8
-0.015	8.5
-0.015	9
-0.015	9.5
-0.015	10
-0.015	10.5
-0.015	11
-0.015	11.5
-0.015	12
-0.01	8
-0.01	8.5
-0.01	9
-0.01	9.5
-0.01	10
-0.01	10.5
-0.01	11
-0.01	11.5
-0.01	12
-0.005	8
-0.005	8.5
-0.005	9
-0.005	9.5
-0.005	10
-0.005	10.5
-0.005	11
-0.005	11.5
-0.005	12
0	8
0	8.5
0	9
0	9.5
0	10
0	10.5
0	11
0	11.5
0	12
0.005	8
0.005	8.5
0.005	9
0.005	9.5
0.005	10
0.005	10.5
0.005	11
0.005	11.5
0.005	12
0.01	8
0.01	8.5
0.01	9
0.01	9.5
0.01	10
0.01	10.5
0.01	11
0.01	11.5
0.01	12
0.015	8
0.015	8.5
0.015	9
0.015	9.5
0.015	10
0.015	10.5
0.015	11
0.015	11.5
0.015	12
0.02	8
0.02	8.5
0.02	9
0.02	9.5
0.02	10
0.02	10.5
0.02	11
0.02	11.5
0.02	12
0.025	8
0.025	8.5
0.025	9
0.025	9.5
0.025	10
0.025	10.5
0.025	11
0.025	11.5
0.025	12
0.03	8
0.03	8.5
0.03	9
0.03	9.5
0.03	10
0.03	10.5
0.03	11
0.03	11.5
0.03	12
0.035	8
0.035	8.5
0.035	9
0.035	9.5
0.035	10
0.035	10.5
0.035	11
0.035	11.5
0.035	12
0.04	8
0.04	8.5
0.04	9
0.04	9.5
0.04	10
0.04	10.5
0.04	11
0.04	11.5
0.04	12
0.045	8
0.045	8.5
0.045	9
0.045	9.5
0.045	10
0.045	10.5
0.045	11
0.045	11.5
0.045	12
0.05	8
0.05	8.5
0.05	9
0.05	9.5
0.05	10
0.05	10.5
0.05	11
0.05	11.5
0.05	12
